;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;label
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;14;1;9;5;2;26;2;1;semi;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;14;1;9;5;2;26;2;0;semi;min-degree;1;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;14;1;9;5;2;26;2;1;weak;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;14;1;9;5;2;26;2;0;weak;min-degree;1;2
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;14;1;9;5;2;26;2;0;none;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;14;1;9;5;2;133;2;1;semi;min-degree;9;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;14;1;9;5;2;133;2;0;semi;min-degree;9;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;14;1;9;5;2;133;2;1;weak;min-degree;9;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;14;1;9;5;2;133;2;0;weak;min-degree;9;5
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;14;1;9;5;2;133;2;0;none;min-degree;9;4
