;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_001.lp;14.0;1.0;9.0;5.0;2.0;53.0;1.0;0.0;weak;min-degree;6.0;31.75;33.17;31.76;33.09;44.22
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_001.lp;14.0;1.0;9.0;5.0;2.0;53.0;1.0;0.0;none;min-degree;6.0;0.29;0.28;0.28;0.28;0.27
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_002.lp;14.0;1.0;9.0;5.0;2.0;43.0;1.0;1.0;semi;min-degree;5.0;0.66;0.66;0.66;0.67;0.70
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_002.lp;14.0;1.0;9.0;5.0;2.0;43.0;1.0;0.0;semi;min-degree;5.0;33.89;34.96;33.40;34.83;40.99
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_002.lp;14.0;1.0;9.0;5.0;2.0;43.0;1.0;1.0;weak;min-degree;5.0;0.67;0.65;0.65;0.66;0.71
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_002.lp;14.0;1.0;9.0;5.0;2.0;43.0;1.0;0.0;weak;min-degree;5.0;34.11;34.71;33.67;34.55;41.43
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_002.lp;14.0;1.0;9.0;5.0;2.0;43.0;1.0;0.0;none;min-degree;5.0;0.45;0.45;0.45;0.45;0.45
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_003.lp;14.0;1.0;9.0;5.0;2.0;46.0;1.0;1.0;semi;min-degree;6.0;0.00;0.01;0.01;0.01;0.01
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_003.lp;14.0;1.0;9.0;5.0;2.0;46.0;1.0;0.0;semi;min-degree;6.0;12.96;13.28;13.17;13.33;16.80
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_003.lp;14.0;1.0;9.0;5.0;2.0;46.0;1.0;1.0;weak;min-degree;6.0;0.30;0.30;0.30;0.30;0.32
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_003.lp;14.0;1.0;9.0;5.0;2.0;46.0;1.0;0.0;weak;min-degree;6.0;39.74;39.94;37.85;39.40;66.24
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_003.lp;14.0;1.0;9.0;5.0;2.0;46.0;1.0;0.0;none;min-degree;6.0;0.88;0.88;0.89;0.89;0.88
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_005.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;1.0;semi;min-degree;6.0;0.02;0.01;0.01;0.02;0.02
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_005.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;0.0;semi;min-degree;6.0;50.08;54.92;51.04;54.84;77.58
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_005.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;1.0;weak;min-degree;6.0;0.02;0.02;0.02;0.01;0.02
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_005.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;0.0;weak;min-degree;6.0;53.53;58.29;53.44;57.06;103.02
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_005.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;0.0;none;min-degree;6.0;0.14;0.13;0.13;0.13;0.14
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_006.lp;14.0;1.0;9.0;5.0;2.0;64.0;1.0;1.0;semi;min-degree;8.0;10.64;11.19;10.57;11.00;12.55
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_006.lp;14.0;1.0;9.0;5.0;2.0;64.0;1.0;0.0;semi;min-degree;8.0;217.94;236.17;220.09;235.12;316.92
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_006.lp;14.0;1.0;9.0;5.0;2.0;64.0;1.0;1.0;weak;min-degree;8.0;10.91;12.01;11.31;11.79;13.62
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_006.lp;14.0;1.0;9.0;5.0;2.0;64.0;1.0;0.0;weak;min-degree;8.0;536.40;582.80;554.40;611.85;1010.08
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_006.lp;14.0;1.0;9.0;5.0;2.0;64.0;1.0;0.0;none;min-degree;8.0;0.48;0.48;0.48;0.47;0.46
